description	representative
cell cycle	cell cycle
positive regulation of cell cycle process	cell cycle
glutamine metabolic process	cell cycle
microtubule-based process	cell cycle
regulation of chromosome segregation	cell cycle
spindle organization	cell cycle
chromosome segregation	cell cycle
cell cycle process	cell cycle
cell division	cell cycle
cell cycle phase	cell cycle phase
establishment of organelle localization	establishment of organelle localization
organelle fission	organelle fission
cytoskeleton organization	organelle fission
DNA conformation change	organelle fission
organelle organization	organelle fission
DNA replication	DNA replication
DNA metabolic process	DNA replication
nucleobase-containing compound metabolic process	DNA replication
DNA repair	DNA replication
positive regulation of vascular endothelial growth factor receptor signaling pathway	positive regulation of vascular endothelial growth factor receptor signaling pathway
negative regulation of vasoconstriction	positive regulation of vascular endothelial growth factor receptor signaling pathway